AK	0.5483683060832727 0.45163169391672736
AL	0.6774838674054978 0.3225161325945021
AR	0.6717844545239486 0.32821554547605136
AZ	0.6265807668324335 0.37341923316756653
CA	0.5461677548852397 0.4538322451147603
CO	0.6054864308692649 0.39451356913073504
CT	0.6326690289331138 0.36733097106688617
DC	0.38900149819335506 0.610998501806645
DE	0.6819399281274687 0.31806007187253127
FL	0.6568339340060065 0.34316606599399346
GA	0.6207611789063535 0.3792388210936464
HI	0.5315041747348647 0.4684958252651354
IA	0.6869382584767554 0.3130617415232446
ID	0.689362667924519 0.31063733207548105
IL	0.622365939316432 0.377634060683568
IN	0.6753612967609657 0.3246387032390343
KS	0.6638816676451261 0.33611833235487387
KY	0.6714211652398783 0.32857883476012173
LA	0.6305512263196098 0.3694487736803902
MA	0.5679470445561997 0.4320529554438003
MD	0.6344805099858251 0.36551949001417494
ME	0.6692770252118142 0.3307229747881858
MI	0.6894525292158583 0.31054747078414174
MN	0.6985364643302783 0.3014635356697217
MO	0.6663350726853522 0.3336649273146478
MS	0.6921879817496644 0.30781201825033555
MT	0.6564537115741238 0.34354628842587615
NC	0.6486226922556279 0.35137730774437215
ND	0.626400378567223 0.373599621432777
NE	0.6477365059731051 0.3522634940268949
NH	0.6502014109266911 0.34979858907330885
NJ	0.6345777928887253 0.3654222071112747
NM	0.6555508927583726 0.3444491072416274
NV	0.5323983642886182 0.46760163571138175
NY	0.4880574294535236 0.5119425705464764
OH	0.6533116819402845 0.34668831805971545
OK	0.6628720666302776 0.33712793336972235
OR	0.6109863304002748 0.3890136695997252
PA	0.6878681770102372 0.3121318229897629
RI	0.5756979273246756 0.42430207267532444
SC	0.6700495311513346 0.32995046884866536
SD	0.6440441630837423 0.3559558369162576
TN	0.6469876701815636 0.35301232981843644
TX	0.5836071855119896 0.41639281448801035
UT	0.665129572551496 0.3348704274485041
VA	0.6384285557935115 0.3615714442064884
VT	0.665239080695107 0.33476091930489305
WA	0.6073882913244512 0.39261170867554884
WI	0.6383540194140739 0.3616459805859262
WV	0.7231516725139373 0.27684832748606275
WY	0.6713507669599605 0.3286492330400395
